"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.755331000E0,5.842822932E-2,-7.645263702E-2,-6.561920822E-2,1.164677817E-1
2.765307000E0,3.887784451E-2,-6.206439346E-2,-8.919342756E-2,1.154077261E-1
2.775283000E0,5.979165383E-2,-1.319365740E-2,-1.441783047E-1,1.566413036E-1
2.785259000E0,4.895208545E-2,-8.479047418E-3,-2.019476259E-1,2.079688547E-1
2.795235000E0,5.629384942E-2,-3.741340935E-3,-1.981808496E-1,2.060549544E-1
2.805210000E0,3.677430868E-2,-4.007681608E-3,-1.052949053E-1,1.116038905E-1
2.815186000E0,1.145601109E-2,1.805093944E-2,1.758257747E-3,2.145152850E-2
2.825162000E0,4.637046665E-2,-6.651792526E-3,2.894488692E-2,5.506607849E-2
2.835138000E0,4.143066578E-2,-4.508875698E-2,-1.327844203E-2,6.265630930E-2
2.845114000E0,2.850517631E-2,-6.959239125E-2,-3.734616637E-2,8.396655369E-2
2.855090000E0,-4.347258657E-3,-3.945554942E-2,-1.859648466E-2,4.383455577E-2
2.865065000E0,-7.880643368E-2,-2.608442903E-2,-1.731243610E-2,8.479723976E-2
2.875041000E0,-1.020271157E-1,-1.869881094E-2,-2.083012104E-2,1.057973148E-1
2.885017000E0,-5.616279870E-2,-3.069788218E-3,-2.131719410E-2,6.015069677E-2
2.894993000E0,-4.954689346E-2,-6.083735526E-3,-9.709360063E-2,1.091745106E-1
2.904969000E0,-4.008719489E-2,8.236972690E-3,-9.688017726E-2,1.051693856E-1
2.914945000E0,-4.451141752E-2,1.435666859E-2,-5.910657942E-2,7.537219616E-2
2.924921000E0,-4.032349549E-2,7.167224586E-3,-6.334113300E-2,7.542845966E-2
2.934896625E0,-1.655566022E-2,3.223950058E-2,-3.443776131E-2,4.999434655E-2
2.944872625E0,1.512674689E-2,2.000215530E-2,1.758959413E-2,3.063165862E-2
2.954848625E0,1.598701850E-3,2.430132061E-2,-1.758842468E-3,2.441727990E-2
2.964824625E0,-1.293623373E-2,3.806917459E-2,-7.880994201E-2,8.847381057E-2
2.974800625E0,2.044698223E-3,4.796500236E-2,-1.455588323E-1,1.532716409E-1
