"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.331841417E0,7.173874624E0,-4.963370415E0,-1.391949567E1,1.642716904E1
2.341817417E0,7.462365135E0,-4.716336371E0,-1.416357482E1,1.668944498E1
2.351793417E0,7.882531434E0,-4.394145141E0,-1.474812565E1,1.729017129E1
2.361769417E0,7.717816538E0,-4.207958392E0,-1.436661120E1,1.684253910E1
2.371744417E0,7.203704195E0,-4.342605443E0,-1.374933000E1,1.611817767E1
2.381720417E0,6.469693859E0,-4.852700457E0,-1.168948690E1,1.421442029E1
2.391696417E0,5.529030057E0,-4.968894280E0,-8.069217827E0,1.097143382E1
2.401672417E0,5.300601561E0,-4.525423611E0,-4.454017705E0,8.271282215E0
2.411648417E0,5.032299732E0,-3.899790832E0,8.254806697E-2,6.367041959E0
2.421623417E0,5.746809604E0,-2.597975217E0,3.773213523E0,7.349315352E0
2.431599417E0,6.832740462E0,-6.435018700E-1,5.806629544E0,8.989848916E0
2.441575417E0,7.441059635E0,8.865793955E-1,7.366575463E0,1.050817898E1
2.451551417E0,7.333187277E0,8.698396942E-1,1.051225762E1,1.284678236E1
2.461527417E0,6.820353135E0,5.061364487E-2,1.406234782E1,1.562912041E1
2.471503417E0,5.707511637E0,-2.418833779E-1,1.666873017E1,1.762046430E1
2.481478417E0,4.095097482E0,-4.344893458E-1,1.836011097E1,1.881627697E1
2.491454417E0,2.388188668E0,-7.469877930E-1,1.950431635E1,1.966417535E1
2.501430417E0,9.404467236E-1,-5.338563439E-1,1.946977801E1,1.949978714E1
2.511406417E0,-1.094706944E-1,6.718947798E-2,1.775524107E1,1.775570566E1
2.521382417E0,-9.606840831E-1,8.059778666E-1,1.486358243E1,1.491638686E1
2.531357417E0,-1.727696982E0,1.729547479E0,1.163052709E1,1.188467213E1
2.541333417E0,-2.387980945E0,2.620848940E0,8.200956180E0,8.934594811E0
2.551309417E0,-3.129734165E0,3.271220411E0,4.723505350E0,6.542753374E0
2.561285417E0,-4.136742814E0,3.648448559E0,1.542898947E0,5.727508634E0
2.571261417E0,-5.092507927E0,3.807470605E0,-1.037444576E0,6.442574070E0
2.581237417E0,-5.782241392E0,3.760217502E0,-3.004967154E0,7.523521700E0
2.591212417E0,-6.222512172E0,3.507261105E0,-4.529782417E0,8.458100670E0
2.601188792E0,-6.558038270E0,3.221115036E0,-5.838271751E0,9.352479087E0
2.611164792E0,-6.841537598E0,2.950199209E0,-6.685388873E0,1.001023159E1
2.621140792E0,-6.867304523E0,2.677958988E0,-6.997535464E0,1.016350522E1
2.631116792E0,-6.630426800E0,2.389396849E0,-6.908755435E0,9.869279534E0
2.641091792E0,-7.547976558E0,1.948328508E0,-6.550992960E0,1.018250671E1
2.651067792E0,-8.858711223E0,1.888636915E0,-6.607861226E0,1.121193756E1
2.661043792E0,-9.875535593E0,2.046571964E0,-6.677305682E0,1.209549797E1
2.671019792E0,-1.072137159E1,1.804336730E0,-6.626863507E0,1.273258653E1
2.680995792E0,-1.108961169E1,1.396615645E0,-6.751819675E0,1.305821931E1
2.690971792E0,-1.117402326E1,1.120550760E0,-6.903780039E0,1.318243562E1
2.700946792E0,-1.108087127E1,1.143044121E0,-6.474645281E0,1.288461445E1
2.710922792E0,-1.057702372E1,9.528700103E-1,-5.295512729E0,1.186692239E1
2.720898792E0,-9.931542563E0,5.068055163E-1,-3.735877882E0,1.062304914E1
2.730874792E0,-9.327065595E0,6.903617486E-2,-1.338172140E0,9.422824592E0
2.740850792E0,-8.308899289E0,-1.926201475E-1,2.251711877E0,8.610755849E0
2.750826792E0,-7.117719719E0,-5.550700423E-1,6.748491440E0,9.824060946E0
2.760801792E0,-6.398735558E0,-1.308643993E0,1.105672227E1,1.284163047E1
2.770777792E0,-5.714709560E0,-1.700685330E0,1.420262370E1,1.540340079E1
2.780753792E0,-4.578505511E0,-1.766381722E0,1.610989189E1,1.684076702E1
2.790729792E0,-2.990480677E0,-1.861140968E0,1.786826073E1,1.821212678E1
2.800705792E0,-1.423663110E0,-2.331935383E0,1.937862694E1,1.957028158E1
2.810680792E0,1.787435353E-1,-3.490096311E0,1.936763417E1,1.968039570E1
2.820656792E0,1.519004593E0,-4.578646137E0,1.812721520E1,1.875812641E1
2.830632792E0,2.651384270E0,-4.835260844E0,1.687942757E1,1.775738328E1
2.840608792E0,4.166448716E0,-4.902924531E0,1.581434203E1,1.707311857E1
2.850584792E0,5.886560397E0,-4.856386834E0,1.425182801E1,1.616634430E1
2.860560792E0,6.834021002E0,-4.480413206E0,1.143482896E1,1.405465257E1
2.870535792E0,6.620526295E0,-4.036964757E0,7.534670050E0,1.081201672E1
2.880511792E0,5.840971996E0,-3.572287406E0,3.682519115E0,7.774261264E0
2.890487792E0,4.977073365E0,-3.130703925E0,3.384029281E-1,5.889574084E0
2.900463792E0,4.595868233E0,-2.916961881E0,-2.243015898E0,5.887426581E0
2.910439792E0,4.831436180E0,-2.788774249E0,-4.018093160E0,6.874962547E0
2.920414792E0,5.449267019E0,-2.750129124E0,-5.845418218E0,8.451428009E0
2.930390792E0,5.846573628E0,-3.118546979E0,-7.646219721E0,1.011792639E1
2.940366792E0,5.820524282E0,-4.147067535E0,-9.124204050E0,1.158998583E1
2.950342792E0,5.343034220E0,-5.037985564E0,-1.036949668E1,1.270652488E1
2.960318792E0,4.955226998E0,-5.004934763E0,-1.141161552E1,1.341001921E1
2.970294792E0,5.248763071E0,-4.355109129E0,-1.266456858E1,1.438428958E1
2.980269792E0,6.017975399E0,-3.738249805E0,-1.399548959E1,1.568643581E1
2.990245792E0,6.721719378E0,-3.470975331E0,-1.513359749E1,1.691907072E1
3.000221792E0,7.148187221E0,-3.345519811E0,-1.649992222E1,1.829033943E1
3.010197792E0,7.180778432E0,-3.452027429E0,-1.774570777E1,1.945225479E1
3.020173792E0,6.814273201E0,-3.918809777E0,-1.872013456E1,2.030356686E1
3.030148792E0,6.190262439E0,-4.597043816E0,-1.924029351E1,2.072778462E1
3.040124792E0,5.562948586E0,-5.246124807E0,-1.886984316E1,2.036023584E1
3.050100792E0,5.152342485E0,-5.807259289E0,-1.752198043E1,1.916482955E1
3.060076792E0,5.328560607E0,-6.176586971E0,-1.534064506E1,1.737467052E1
3.070052792E0,5.943218163E0,-6.658377661E0,-1.269841694E1,1.552113488E1
3.080028792E0,6.386221932E0,-7.376960703E0,-9.384401053E0,1.353773847E1
3.090003792E0,5.933410043E0,-7.217751546E0,-2.807150002E0,9.756094672E0
3.099979792E0,5.651510514E0,-6.373662697E0,4.373009795E-1,8.529617776E0
3.109955792E0,5.868837487E0,-5.813056219E0,1.722679194E0,8.438157361E0
3.119931792E0,6.871673563E0,-4.241640693E0,1.739927895E0,8.260675662E0
3.129907792E0,8.387739052E0,-1.646847092E0,3.514881781E0,9.242330101E0
3.139883792E0,1.005601575E1,-9.051495677E-1,8.876293800E0,1.344363568E1
3.149858792E0,1.157467448E1,-3.205597402E0,1.635825705E1,2.029387882E1
3.159834792E0,1.147916957E1,-5.731167133E0,2.406837222E1,2.727460636E1
3.169810792E0,9.722775915E0,-7.410893265E0,3.000088238E1,3.239609010E1
3.179786792E0,6.397943845E0,-8.063061878E0,3.315169195E1,3.471284102E1
3.189762792E0,3.196093046E0,-7.370939825E0,3.248788563E1,3.346652771E1
3.199737792E0,8.584142348E-1,-5.227900205E0,2.806194333E1,2.855766935E1
3.209713792E0,-8.353960857E-1,-2.412335768E0,2.189743202E1,2.204574289E1
3.219689792E0,-2.227527501E0,3.106347933E-1,1.588203876E1,1.604049649E1
