"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.486070333E0,-1.527016594E0,-1.342025455E0,2.294282531E0,3.065378334E0
1.496046333E0,-1.295741381E0,-1.616190287E0,2.642512289E0,3.357661086E0
1.506022333E0,-1.186150672E0,-1.771053209E0,2.298277933E0,3.134591575E0
1.515998333E0,-1.094913789E0,-1.916660281E0,1.696020568E0,2.783686154E0
1.525973333E0,-1.226285083E0,-1.899796764E0,8.434234357E-1,2.413372318E0
1.535949333E0,-1.488107905E0,-1.560020179E0,9.994411826E-2,2.158267111E0
1.545925333E0,-1.688939005E0,-1.153357002E0,-4.012774533E-1,2.084171521E0
1.555901333E0,-1.719794031E0,-8.117195401E-1,-7.549082851E-1,2.046085687E0
1.565877333E0,-1.541258511E0,-7.177256215E-1,-1.200418755E0,2.081252760E0
1.575853333E0,-1.187265736E0,-6.187995766E-1,-1.439181036E0,1.965643635E0
1.585829333E0,-8.556555185E-1,-4.690552343E-1,-1.318163552E0,1.640034856E0
1.595805333E0,-5.679989670E-1,-2.759862399E-1,-1.063453576E0,1.236820415E0
1.605781333E0,-2.968382880E-1,-9.258108504E-2,-8.846053755E-1,9.376624643E-1
1.615757333E0,-7.165587366E-2,1.301677912E-2,-9.525476825E-1,9.553277387E-1
1.625732333E0,-5.415544957E-3,4.012677323E-2,-1.293405856E0,1.294039488E0
1.635708333E0,-4.299823120E-2,1.157986242E-1,-1.682019410E0,1.686548981E0
1.645684333E0,-1.125796589E-1,1.664024019E-1,-1.940537678E0,1.950910151E0
1.655660333E0,-1.526792791E-1,1.586482265E-1,-1.984859573E0,1.997034738E0
1.665636333E0,-1.469577786E-1,1.307639880E-1,-2.057325286E0,2.066708286E0
1.675612333E0,-7.593501225E-2,9.951350737E-2,-2.199443616E0,2.203002788E0
1.685588333E0,8.066029340E-2,1.655086185E-1,-2.384383446E0,2.391481466E0
1.695564333E0,2.689156406E-1,2.988786374E-1,-2.604758572E0,2.635604538E0
1.705540333E0,4.276685688E-1,4.091020511E-1,-2.773058980E0,2.835510712E0
1.715516333E0,5.654049960E-1,4.042096127E-1,-2.997851678E0,3.077366228E0
1.725491333E0,5.107825001E-1,2.715596784E-1,-3.276442852E0,3.327119052E0
1.735467333E0,3.518754977E-1,1.622663374E-1,-3.493192704E0,3.514618329E0
1.745443333E0,2.314225629E-1,1.215709955E-1,-3.636702088E0,3.646085296E0
1.755419333E0,8.924824521E-2,1.239461345E-1,-3.616146201E0,3.619370282E0
1.765395333E0,-4.370062798E-2,7.740514845E-2,-3.459737860E0,3.460879565E0
1.775371333E0,-5.143824846E-2,5.299996667E-2,-3.174258081E0,3.175117203E0
1.785347333E0,4.166477367E-2,1.235631419E-1,-2.817541088E0,2.820556964E0
1.795323333E0,1.414401998E-1,1.717368899E-1,-2.460545184E0,2.470583229E0
1.805299333E0,2.276831223E-1,2.987700619E-1,-1.937848544E0,1.973919991E0
1.815274333E0,3.342340095E-1,4.295518108E-1,-1.264147559E0,1.376334328E0
1.825250333E0,5.169684157E-1,5.029955437E-1,-3.819500667E-1,8.161781137E-1
1.835226333E0,6.156816950E-1,4.977715681E-1,6.366705680E-1,1.015967468E0
1.845202333E0,5.707866271E-1,3.497717426E-1,1.534050940E0,1.673753247E0
1.855178333E0,3.835089344E-1,1.205811350E-1,2.163000260E0,2.200042963E0
1.865154333E0,1.766851692E-1,-1.384675484E-1,2.280474331E0,2.291496036E0
1.875130333E0,1.717033415E-1,-3.329491570E-1,1.934883420E0,1.970814814E0
1.885106333E0,3.743235433E-1,-3.795812134E-1,1.728704749E0,1.809038453E0
1.895082333E0,7.709509984E-1,-2.649085437E-1,2.162965761E0,2.311484991E0
1.905058333E0,1.172185475E0,-1.017878184E-1,2.984071544E0,3.207656860E0
1.915033333E0,1.484991193E0,-1.260630459E-2,3.901449979E0,4.174526285E0
1.925009333E0,1.819454998E0,2.351567410E-3,4.777825983E0,5.112537838E0
1.934985333E0,1.969469847E0,-1.235657731E-1,5.376634660E0,5.727327496E0
1.944961333E0,1.861787962E0,-3.666331391E-1,5.598169874E0,5.911021926E0
1.954937333E0,1.542613603E0,-7.513186064E-1,5.568036248E0,5.826419487E0
1.964913333E0,1.280601331E0,-1.236451783E0,5.570545873E0,5.848053873E0
1.974889333E0,1.198751056E0,-1.632269107E0,5.734539222E0,6.081631905E0
1.984865333E0,1.308388470E0,-1.866782215E0,5.966641524E0,6.387297339E0
1.994841333E0,1.476376636E0,-1.977069035E0,5.792461156E0,6.296117548E0
2.004816333E0,1.564314374E0,-2.078114769E0,4.793736842E0,5.453948419E0
2.014792333E0,1.674512462E0,-2.098996345E0,3.267308332E0,4.229075712E0
2.024768333E0,1.607996876E0,-1.822054378E0,1.603959666E0,2.911738779E0
2.034744333E0,1.525448663E0,-1.293206174E0,1.185394335E-1,2.003354045E0
2.044720333E0,1.298555499E0,-6.856219956E-1,-1.417795429E0,2.041192736E0
2.054696333E0,1.049417189E0,-1.809708494E-1,-2.629470659E0,2.836924890E0
2.064672333E0,9.570616599E-1,1.034241983E-1,-3.185761308E0,3.328023242E0
2.074648333E0,9.679222052E-1,3.963268351E-2,-3.310946102E0,3.449754808E0
2.084624333E0,1.144759402E0,-1.997028432E-1,-3.030885522E0,3.246016384E0
2.094599333E0,1.282604295E0,-4.533479685E-1,-2.486923728E0,2.834675958E0
2.104575333E0,1.112776375E0,-4.654369041E-1,-2.015583183E0,2.348931318E0
2.114551333E0,7.483835234E-1,-3.550161469E-1,-1.743940254E0,1.930658430E0
2.124527333E0,3.971963160E-1,-2.952343054E-1,-1.760230013E0,1.828479671E0
2.134503333E0,1.116865698E-1,-2.987654755E-1,-2.034976643E0,2.059821506E0
2.144479333E0,-1.417038361E-1,-2.341271194E-1,-2.478949880E0,2.494010424E0
2.154455333E0,-3.446641997E-1,-1.391841430E-1,-2.849384440E0,2.873526983E0
2.164431333E0,-4.395667025E-1,-1.722176772E-2,-2.965080957E0,2.997535748E0
2.174407333E0,-5.061001959E-1,1.196300762E-1,-2.855090153E0,2.902066255E0
2.184383333E0,-4.911693308E-1,2.284002833E-1,-2.634532009E0,2.689641781E0
2.194358333E0,-4.743683068E-1,3.159809392E-1,-2.474153994E0,2.538957902E0
2.204334333E0,-4.810115477E-1,4.174390477E-1,-2.411845479E0,2.494519209E0
